breed_id,breed_name,code2,group,playable,country_origin,notes
64,Miniature Bull Terrier,MB,Terrier,FALSE,United Kingdom,
65,Staffordshire Bull Terrier,SB,Terrier,FALSE,United Kingdom,
66,Bedlington Terrier,BD,Terrier,FALSE,United Kingdom,
67,Border Terrier,BR,Terrier,FALSE,United Kingdom,
68,Cairn Terrier,CT,Terrier,FALSE,United Kingdom,
69,Dandie Dinmont Terrier,DD,Terrier,FALSE,United Kingdom,
70,Scottish Terrier,SC,Terrier,FALSE,United Kingdom,
71,Sealyham Terrier,SE,Terrier,FALSE,United Kingdom,
72,Skye Terrier,SK,Terrier,FALSE,United Kingdom,
73,Welsh Terrier,WT,Terrier,FALSE,United Kingdom,
74,West Highland White Terrier,WH,Terrier,FALSE,United Kingdom,
75,Norfolk Terrier,NF,Terrier,FALSE,United Kingdom,
76,Norwich Terrier,NW,Terrier,FALSE,United Kingdom,
77,Parson Russell Terrier,PR,Terrier,FALSE,United Kingdom,
78,Rat Terrier,RA,Terrier,FALSE,USA,
79,Toy Fox Terrier,TF,Terrier,FALSE,USA,
80,Glen of Imaal Terrier,GI,Terrier,FALSE,Ireland,
81,Chihuahua,CH,Toy,FALSE,Mexico,
82,Pomeranian,PM,Toy,FALSE,Germany,
83,Papillon,PP,Toy,FALSE,France,
84,Phalene,PL,Toy,FALSE,France,
85,Pekingese,PK,Toy,FALSE,China,
86,Japanese Chin,JC,Toy,FALSE,Japan,
87,Italian Greyhound,IG,Toy,FALSE,Italy,
88,Miniature Pinscher,MP,Toy,FALSE,Germany,
89,Toy Poodle,TP,Toy,FALSE,France,
90,Brussels Griffon,BG,Toy,FALSE,Belgium,
91,Affenpinscher,AP,Toy,FALSE,Germany,
92,English Toy Spaniel,ET,Toy,FALSE,United Kingdom,
93,Cavalier King Charles Spaniel,CK,Toy,FALSE,United Kingdom,
94,Chinese Crested,CC,Toy,FALSE,China,
95,Havanese,HV,Toy,FALSE,Cuba,
96,Maltese,ML,Toy,FALSE,Italy,
97,Shih Tzu,ST,Toy,FALSE,Tibet,
98,Yorkshire Terrier,YT,Toy,FALSE,United Kingdom,
99,Russian Toy,RT,Toy,FALSE,Russia,
100,Biewer Terrier,BW,Toy,FALSE,Germany,
101,Poodle Standard,PS,Non-Sporting,FALSE,France,
102,Poodle Miniature,PM,Non-Sporting,FALSE,France,
103,Bulldog,BD,Non-Sporting,FALSE,United Kingdom,
104,French Bulldog,FB,Non-Sporting,FALSE,France,
105,Dalmatian,DL,Non-Sporting,FALSE,Croatia,
106,Chow Chow,CC,Non-Sporting,FALSE,China,
107,Shiba Inu,SI,Non-Sporting,FALSE,Japan,
108,American Eskimo Dog,AE,Non-Sporting,FALSE,USA,
109,Schipperke,SK,Non-Sporting,FALSE,Belgium,
110,Lhasa Apso,LA,Non-Sporting,FALSE,Tibet,
111,Tibetan Spaniel,TS,Non-Sporting,FALSE,Tibet,
112,Tibetan Terrier,TT,Non-Sporting,FALSE,Tibet,
113,Xoloitzcuintli,XL,Non-Sporting,FALSE,Mexico,
114,Peruvian Inca Orchid,PI,Non-Sporting,FALSE,Peru,
115,Lowchen,LW,Non-Sporting,FALSE,Germany,
116,Coton de Tulear,CT,Non-Sporting,FALSE,Madagascar,
117,Boston Terrier,BS,Non-Sporting,FALSE,USA,
118,Eurasier,EU,Non-Sporting,FALSE,Germany,
119,Kromfohrlander,KR,Non-Sporting,FALSE,Germany,
120,Thai Ridgeback,TR,Non-Sporting,FALSE,Thailand,
121,German Shepherd Dog,GS,Herding,FALSE,Germany,
122,Border Collie,BC,Herding,FALSE,United Kingdom,
123,Australian Shepherd,AS,Herding,FALSE,USA,
124,Shetland Sheepdog,SS,Herding,FALSE,United Kingdom,
125,Rough Collie,RC,Herding,FALSE,United Kingdom,
126,Smooth Collie,SC,Herding,FALSE,United Kingdom,
127,Old English Sheepdog,OE,Herding,FALSE,United Kingdom,
128,Belgian Malinois,BM,Herding,FALSE,Belgium,
129,Belgian Tervuren,BT,Herding,FALSE,Belgium,
130,Belgian Sheepdog,BS,Herding,FALSE,Belgium,
131,Belgian Laekenois,BL,Herding,FALSE,Belgium,
132,Briard,BR,Herding,FALSE,France,
133,Beauceron,BC,Herding,FALSE,France,
134,Komondor,KM,Herding,FALSE,Hungary,
135,Puli,PU,Herding,FALSE,Hungary,
136,Pumi,PM,Herding,FALSE,Hungary,
137,Mudi,MD,Herding,FALSE,Hungary,
138,Bergamasco Sheepdog,BG,Herding,FALSE,Italy,
139,Catalan Sheepdog,CS,Herding,FALSE,Spain,
140,Canaan Dog,CD,Herding,FALSE,Israel,
141,Appenzeller Sennenhund,AP,Working,FALSE,Switzerland,
142,Entlebucher Mountain Dog,EN,Working,FALSE,Switzerland,
143,Kangal Dog,KG,Working,FALSE,Turkey,
144,Saarloos Wolfdog,SW,Working,FALSE,Netherlands,
145,Czechoslovakian Wolfdog,CW,Working,FALSE,Czech Republic,
146,Tosa Inu,TI,Working,FALSE,Japan,
147,Boerboel,BB,Working,FALSE,South Africa,
148,Central Asian Shepherd,CA,Working,FALSE,Central Asia,
149,Caucasian Shepherd,CS,Working,FALSE,Russia,
150,Perro de Presa Canario,PC,Working,FALSE,Spain,
151,Azores Cattle Dog,AC,Herding,FALSE,Portugal,
152,Pyrenean Shepherd,PS,Herding,FALSE,France,
153,Bouvier des Flandres,BF,Herding,FALSE,Belgium,
154,Bouvier des Ardennes,BA,Herding,FALSE,Belgium,
155,Dutch Shepherd,DS,Herding,FALSE,Netherlands,
156,Swedish Vallhund,SV,Herding,FALSE,Sweden,
157,Finnish Lapphund,FL,Herding,FALSE,Finland,
158,Polish Lowland Sheepdog,PL,Herding,FALSE,Poland,
159,South Russian Ovcharka,SR,Herding,FALSE,Russia,
160,White Swiss Shepherd,WS,Herding,FALSE,Switzerland,
161,American Bulldog,AB,Working,FALSE,USA,
162,American Pit Bull Terrier,PB,Terrier,FALSE,USA,
163,Dogo Argentino,DA,Working,FALSE,Argentina,
164,Fila Brasileiro,FB,Working,FALSE,Brazil,
165,Thai Bangkaew Dog,TB,Non-Sporting,FALSE,Thailand,
166,Korean Jindo,JD,Non-Sporting,FALSE,Korea,
167,Taiwan Dog,TD,Non-Sporting,FALSE,Taiwan,
168,New Guinea Singing Dog,NG,Non-Sporting,FALSE,Papua New Guinea,
169,Carolina Dog,CD,Non-Sporting,FALSE,USA,
170,Basque Shepherd,BS,Herding,FALSE,Spain,
171,Podenco Ibicenco,PI,Hound,FALSE,Spain,
172,Podenco Canario,PC,Hound,FALSE,Spain,
173,Podenco Andaluz,PA,Hound,FALSE,Spain,
174,Cirneco dell'Etna,CE,Hound,FALSE,Italy,
175,Portuguese Podengo,PP,Hound,FALSE,Portugal,
176,Hamiltonstovare,HS,Hound,FALSE,Sweden,
177,Drever,DR,Hound,FALSE,Sweden,
178,Norwegian Elkhound,NE,Hound,FALSE,Norway,
179,Finnish Spitz,FS,Hound,FALSE,Finland,
180,Karelian Bear Dog,KB,Hound,FALSE,Finland,
181,Black Norwegian Elkhound,BN,Hound,FALSE,Norway,
182,Halden Hound,HH,Hound,FALSE,Norway,
183,Hygen Hound,HY,Hound,FALSE,Norway,
184,Otterhound,OH,Hound,FALSE,United Kingdom,
185,Harrier,HR,Hound,FALSE,United Kingdom,
186,Grand Basset Griffon Vendeen,GB,Hound,FALSE,France,
187,Petit Basset Griffon Vendeen,PB,Hound,FALSE,France,
188,Grand Bleu de Gascogne,BG,Hound,FALSE,France,
189,Artois Hound,AR,Hound,FALSE,France,
190,Porcelaine,PO,Hound,FALSE,France,
191,Borzoi,BZ,Hound,FALSE,Russia,
192,Rhodesian Ridgeback,RR,Hound,FALSE,Africa,
193,American Hairless Terrier,AH,Terrier,FALSE,USA,
194,Australian Terrier,AT,Terrier,FALSE,Australia,
195,Cesky Terrier,CS,Terrier,FALSE,Czech Republic,
196,Irish Terrier,IT,Terrier,FALSE,Ireland,
197,Kerry Blue Terrier,KB,Terrier,FALSE,Ireland,
198,Lakeland Terrier,LT,Terrier,FALSE,United Kingdom,
199,Manchester Terrier,MT,Terrier,FALSE,United Kingdom,
200,Soft Coated Wheaten Terrier,SW,Terrier,FALSE,Ireland,
