breed_name,code2,group,playable,release_version
Shih Tzu,SZ,Toy,TRUE,4
Yorkshire Terrier,YT,Toy,TRUE,4
American Eskimo Dog,AE,Non-Sporting,TRUE,4
Tibetan Spaniel,TS,Non-Sporting,TRUE,4
Xoloitzcuintli,XL,Non-Sporting,TRUE,4
Old English Sheepdog,OE,Herding,TRUE,4
Belgian Malinois,BM,Herding,TRUE,4
Bouvier des Flandres,BV,Herding,TRUE,4
Petit Basset Griffon Vendeen,PV,Hound,TRUE,4
Brittany,BY,Sporting,TRUE,5
English Setter,ES,Sporting,TRUE,5
Bracco Italiano,BI,Sporting,TRUE,5
Scottish Deerhound,SD,Hound,TRUE,5
Ibizan Hound,IH,Hound,TRUE,5
English Foxhound,EX,Hound,TRUE,5
Doberman Pinscher,DP,Working,TRUE,5
Dogue de Bordeaux,DB,Working,TRUE,5
West Highland White Terrier,WH,Terrier,TRUE,5
Toy Fox Terrier,TF,Terrier,TRUE,5
Pekingese,PK,Toy,TRUE,5
Japanese Chin,JC,Toy,TRUE,5
Miniature Pinscher,MP,Toy,TRUE,5
Poodle Miniature,PM,Non-Sporting,TRUE,5
Tibetan Terrier,TT,Non-Sporting,TRUE,5
Coton de Tulear,CU,Non-Sporting,TRUE,5
Shetland Sheepdog,SS,Herding,TRUE,5
Belgian Tervuren,AV,Herding,TRUE,5
Beauceron,BE,Herding,TRUE,5
Dogo Argentino,DA,Working,TRUE,5
Kerry Blue Terrier,KB,Terrier,TRUE,5
Curly-Coated Retriever,CR,Sporting,TRUE,6
Lagotto Romagnolo,LG,Sporting,TRUE,6
Small Munsterlander,SM,Sporting,TRUE,6
Afghan Hound,AF,Hound,TRUE,6
Basset Hound,BH,Hound,TRUE,6
American Foxhound,AX,Hound,TRUE,6
Newfoundland,NF,Working,TRUE,6
Akita,AK,Working,TRUE,6
Alaskan Malamute,AM,Working,TRUE,6
Norfolk Terrier,NT,Terrier,TRUE,6
Pomeranian,PE,Toy,TRUE,6
English Toy Spaniel,ET,Toy,TRUE,6
Biewer Terrier,BW,Toy,TRUE,6
Eurasier,EU,Non-Sporting,TRUE,6
Dutch Shepherd,DS,Herding,TRUE,6
Swedish Vallhund,SV,Herding,TRUE,6
Polish Lowland Sheepdog,PG,Herding,TRUE,6
Korean Jindo,JD,Non-Sporting,TRUE,6
Carolina Dog,CD,Non-Sporting,TRUE,6
Australian Terrier,AU,Terrier,TRUE,6
Manchester Terrier,MT,Terrier,TRUE,6
Flat-Coated Retriever,FR,Sporting,TRUE,7
German Wirehaired Pointer,GW,Sporting,TRUE,7
Basenji,BJ,Hound,TRUE,7
Black and Tan Coonhound,BT,Hound,TRUE,7
Keeshond,KH,Working,TRUE,7
Chinook,CN,Working,TRUE,7
Phalene,PL,Toy,TRUE,7
Russian Toy,RS,Toy,TRUE,7
Peruvian Inca Orchid,PQ,Non-Sporting,TRUE,7
Kromfohrlander,KR,Non-Sporting,TRUE,7
Catalan Sheepdog,CP,Herding,TRUE,7
Boerboel,BB,Working,TRUE,7
Finnish Lapphund,FL,Herding,TRUE,7
White Swiss Shepherd,WS,Herding,TRUE,7
Taiwan Dog,TD,Non-Sporting,TRUE,7
Grand Basset Griffon Vendeen,GV,Hound,TRUE,7
American Hairless Terrier,AH,Terrier,TRUE,7
Irish Terrier,IT,Terrier,TRUE,7
Soft Coated Wheaten Terrier,SN,Terrier,TRUE,7
Azawakh,AZ,Hound,TRUE,8
Anatolian Shepherd,AN,Working,TRUE,8
Miniature Bull Terrier,MB,Terrier,TRUE,8
Cairn Terrier,CT,Terrier,TRUE,8
Glen of Imaal Terrier,GI,Terrier,TRUE,8
Lowchen,LW,Non-Sporting,TRUE,8
Thai Ridgeback,TR,Non-Sporting,TRUE,8
Belgian Laekenois,LK,Herding,TRUE,8
Pumi,PX,Herding,TRUE,8
Kangal Dog,KG,Working,TRUE,8
Central Asian Shepherd,CA,Working,TRUE,8
Bouvier des Ardennes,BA,Herding,TRUE,8
New Guinea Singing Dog,NG,Non-Sporting,TRUE,8
Drever,DR,Hound,TRUE,8
Porcelaine,PO,Hound,TRUE,8
Bluetick Coonhound,BK,Hound,TRUE,9
Skye Terrier,SJ,Terrier,TRUE,9
Mudi,MI,Herding,TRUE,9
Bergamasco Sheepdog,BP,Herding,TRUE,9
Appenzeller Sennenhund,AD,Working,TRUE,9
Saarloos Wolfdog,SF,Working,TRUE,9
Azores Cattle Dog,AC,Herding,TRUE,9
Fila Brasileiro,FA,Working,TRUE,9
Thai Bangkaew Dog,TA,Non-Sporting,TRUE,9
Podenco Andaluz,PA,Hound,TRUE,9
Artois Hound,AR,Hound,TRUE,9
Cesky Terrier,CY,Terrier,TRUE,9
Lakeland Terrier,LT,Terrier,TRUE,9
Sealyham Terrier,SE,Terrier,TRUE,10
Rat Terrier,RA,Terrier,TRUE,10
Entlebucher Mountain Dog,EN,Working,TRUE,10
Caucasian Shepherd,CS,Working,TRUE,10
Perro de Presa Canario,PD,Working,TRUE,10
Pyrenean Shepherd,PY,Herding,TRUE,10
South Russian Ovcharka,SR,Herding,TRUE,10
Basque Shepherd,AA,Herding,TRUE,10
Podenco Ibicenco,PI,Hound,TRUE,10
Hamiltonstovare,HS,Hound,TRUE,10
Black Norwegian Elkhound,BN,Hound,TRUE,10
Treeing Walker Coonhound,TW,Hound,TRUE,11
Bullmastiff,BF,Working,TRUE,11
Rough Collie,RC,Herding,TRUE,11
Czechoslovakian Wolfdog,CW,Working,TRUE,11
Tosa Inu,TI,Working,TRUE,11
Cirneco dell'Etna,CE,Hound,TRUE,11
Norwegian Elkhound,NE,Hound,TRUE,11
Sloughi,SG,Hound,TRUE,12
Podenco Canario,PC,Hound,TRUE,12
Portuguese Podengo,PZ,Hound,TRUE,12
Finnish Spitz,FS,Hound,TRUE,12
Karelian Bear Dog,KD,Hound,TRUE,12
Halden Hound,HH,Hound,TRUE,12
Hygen Hound,HY,Hound,TRUE,12
Grand Bleu de Gascogne,GB,Hound,TRUE,12
Rhodesian Ridgeback,RR,Hound,TRUE,12
Alaskan Klee Kai,KK,Miscellaneous,TRUE,13
Bolognese,ZB,Miscellaneous,TRUE,13
Czechoslovakian Vlciak,VL,Miscellaneous,TRUE,13
Japanese Akitainu,JA,Miscellaneous,TRUE,13
German Spitz,GG,Miscellaneous,TRUE,13
Kai Ken,KN,Miscellaneous,TRUE,13
Norbottenspets,NB,Miscellaneous,TRUE,13
Pyrenean Mastiff,PN,Miscellaneous,TRUE,13
Yakutian Laika,YL,Miscellaneous,TRUE,13
Australian Cattle Dog,YY,Herding,TRUE,14
English Cocker,QM,Sporting,TRUE,14
American Cocker,QE,Sporting,TRUE,14
American Water Spaniel,AW,Sporting,TRUE,15
Boykin Spaniel,YK,Sporting,TRUE,15
Clumber Spaniel,CL,Sporting,TRUE,15
Cocker Spaniel,QK,Sporting,TRUE,15
English Cocker Spaniel,EG,Sporting,TRUE,15
English Springer Spaniel,ER,Sporting,TRUE,15
American English Coonhound,EC,Hound,TRUE,15
Dachshund,DH,Hound,TRUE,15
Black Russian Terrier,QR,Working,TRUE,15
Bichon Frise,ZF,Non-Sporting,TRUE,15
Chinese Shar-Pei,ZX,Non-Sporting,TRUE,15
Bearded Collie,VC,Herding,TRUE,15
Cardigan Welsh Corgi,WC,Herding,TRUE,15
Collie,OL,Herding,TRUE,15
Field Spaniel,FD,Sporting,TRUE,16
Irish Red and White Setter,RW,Sporting,TRUE,16
Irish Water Spaniel,UW,Sporting,TRUE,16
German Pinscher,GN,Working,TRUE,16
Giant Schnauzer,GZ,Working,TRUE,16
Great Pyrenees,GY,Working,TRUE,16
Kuvasz,KU,Working,TRUE,16
Mastiff,MF,Working,TRUE,16
Neapolitan Mastiff,NM,Working,TRUE,16
Miniature Schnauzer,MZ,Terrier,TRUE,16
Norwegian Lundehund,NL,Non-Sporting,TRUE,16
Icelandic Sheepdog,IC,Herding,TRUE,16
Norwegian Buhund,NR,Herding,TRUE,16
Sussex Spaniel,SU,Sporting,TRUE,17
Welsh Springer Spaniel,WE,Sporting,TRUE,17
Wirehaired Pointing Griffon,WG,Sporting,TRUE,17
Plott,LP,Hound,TRUE,17
Portuguese Podengo Pequeno,QQ,Hound,TRUE,17
Portuguese Water Dog,WD,Working,TRUE,17
Standard Schnauzer,ZS,Working,TRUE,17
Russell Terrier,RU,Terrier,TRUE,17
Smooth Fox Terrier,XF,Terrier,TRUE,17
Wire Fox Terrier,WF,Terrier,TRUE,17
Pug,UG,Toy,TRUE,17
Silky Terrier,SQ,Toy,TRUE,17
Pembroke Welsh Corgi,PW,Herding,TRUE,17
