Breed,breedCode2,Group,HeadWeight,ForequartersWeight,HindquartersWeight,GaitWeight,CoatWeight,SizeWeight,TemperamentWeight,ShowShineWeight,FeetWeight,ToplineWeight,RulesVersion,IsActive,Source,Notes
Chesapeake Bay Retriever,CB,Sporting,9.00,11.00,11.00,10.00,12.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Vizsla,VZ,Sporting,10.00,11.00,11.00,11.00,9.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Weimaraner,WM,Sporting,10.00,11.00,11.00,11.00,9.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Greyhound,GH,Hound,10.00,11.00,11.00,13.00,8.00,10.00,9.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pharaoh Hound,PH,Hound,11.00,10.00,10.00,12.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Great Dane,GD,Working,10.00,11.00,11.00,10.00,9.00,12.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bernese Mountain Dog,MD,Working,9.00,11.00,11.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cane Corso,CC,Working,11.00,11.00,11.00,10.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Scottish Terrier,SC,Terrier,9.00,11.00,11.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Welsh Terrier,WT,Terrier,8.00,11.00,11.00,11.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Papillon,PP,Toy,10.00,10.00,10.00,10.00,10.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Toy Poodle,TP,Toy,12.00,9.00,9.00,9.00,12.00,11.00,9.00,11.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Chinese Crested,CI,Toy,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Dalmatian,DL,Non-Sporting,10.00,11.00,11.00,11.00,9.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Chow Chow,CO,Non-Sporting,11.00,10.00,10.00,9.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Schipperke,SK,Non-Sporting,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Belgian Sheepdog,AY,Herding,9.00,11.00,11.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Briard,BR,Herding,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Puli,PU,Herding,10.00,10.00,10.00,9.00,13.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Pit Bull Terrier,PB,Terrier,10.90,10.89,10.89,10.89,8.91,9.90,10.89,6.93,9.90,9.90,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 101.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Borzoi,BZ,Hound,9.00,11.00,11.00,11.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Nova Scotia Duck Tolling Retriever,DT,Sporting,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Gordon Setter,GS,Sporting,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Irish Setter,IS,Sporting,9.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bloodhound,BL,Hound,14.00,10.00,10.00,9.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Tibetan Mastiff,TM,Working,10.00,10.00,10.00,10.00,11.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Samoyed,SY,Working,8.00,10.00,10.00,10.00,12.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Airedale Terrier,AT,Terrier,8.00,11.00,11.00,11.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bull Terrier,BU,Terrier,12.00,10.00,10.00,10.00,9.00,10.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Parson Russell Terrier,PR,Terrier,9.00,11.00,11.00,11.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Affenpinscher,AP,Toy,13.00,9.00,9.00,9.00,12.00,10.00,10.00,9.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Cavalier King Charles Spaniel,CK,Toy,10.00,10.00,10.00,10.00,10.00,10.00,11.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Havanese,HV,Toy,9.00,10.00,10.00,10.00,11.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Shiba Inu,SI,Non-Sporting,10.00,10.00,10.00,10.00,10.00,11.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Lhasa Apso,LA,Non-Sporting,11.00,9.00,9.00,9.00,13.00,10.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Boston Terrier,BS,Non-Sporting,12.00,10.00,10.00,10.00,9.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Smooth Collie,SO,Herding,9.00,10.00,10.00,10.00,11.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Collie' mapped to canonical breeds.csv name 'Smooth Collie'.
Komondor,KM,Herding,10.00,10.00,10.00,9.00,13.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Canaan Dog,CG,Herding,11.00,10.00,10.00,10.00,9.00,10.00,12.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Bulldog,AB,Working,11.00,11.00,11.00,11.00,9.00,11.00,11.00,6.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Otterhound,OH,Hound,11.00,10.00,10.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Harrier,HR,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Wirehaired Vizsla,WV,Sporting,11.00,10.00,10.00,10.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pointer,PT,Sporting,11.00,11.00,11.00,11.00,8.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Spinone Italiano,SP,Sporting,9.00,11.00,11.00,10.00,11.00,10.00,10.00,7.00,10.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Whippet,WP,Hound,9.00,11.00,11.00,12.00,8.00,11.00,10.00,7.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Redbone Coonhound,RB,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Saint Bernard,SA,Working,9.00,11.00,11.00,10.00,10.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Greater Swiss Mountain Dog,SW,Working,10.00,11.00,11.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Siberian Husky,SH,Working,9.00,11.00,11.00,11.00,11.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Staffordshire Terrier,ST,Terrier,11.00,11.00,11.00,10.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Border Terrier,TB,Terrier,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Dandie Dinmont Terrier,DD,Terrier,12.00,10.00,10.00,9.00,11.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Maltese,ML,Toy,11.00,9.00,9.00,9.00,13.00,10.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Shih Tzu,SZ,Toy,7.00,10.00,10.00,10.00,12.00,10.00,11.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Yorkshire Terrier,YT,Toy,10.00,9.00,9.00,9.00,13.00,11.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Eskimo Dog,AE,Non-Sporting,9.00,10.00,10.00,10.00,11.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Tibetan Spaniel,TS,Non-Sporting,12.00,9.00,9.00,9.00,11.00,11.00,11.00,8.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Xoloitzcuintli,XL,Non-Sporting,11.00,10.00,10.00,10.00,10.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Old English Sheepdog,OE,Herding,10.00,10.00,10.00,9.00,12.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Belgian Malinois,BM,Herding,10.00,11.00,11.00,11.00,9.00,10.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bouvier des Flandres,BV,Herding,8.00,11.00,11.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Petit Basset Griffon Vendeen,PV,Hound,10.00,10.00,10.00,10.00,11.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Brittany,BY,Sporting,10.00,11.00,11.00,11.00,9.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Setter,ES,Sporting,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Bracco Italiano,BI,Sporting,11.00,11.00,11.00,11.00,8.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Scottish Deerhound,SD,Hound,9.00,11.00,11.00,11.00,11.00,11.00,9.00,7.00,11.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Ibizan Hound,IH,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Foxhound,EX,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,7.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Doberman Pinscher,DP,Working,10.00,11.00,11.00,11.00,8.00,10.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Dogue de Bordeaux,DB,Working,10.00,11.00,11.00,10.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
West Highland White Terrier,WH,Terrier,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Toy Fox Terrier,TF,Terrier,12.00,10.00,10.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pekingese,PK,Toy,13.00,9.00,9.00,8.00,12.00,12.00,10.00,9.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Japanese Chin,JC,Toy,11.00,9.00,9.00,9.00,11.00,11.00,11.00,9.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Miniature Pinscher,MP,Toy,11.00,10.00,10.00,11.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Poodle Miniature,PM,Non-Sporting,12.00,9.00,9.00,9.00,12.00,11.00,9.00,11.00,9.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source breed label 'Miniature Poodle' mapped to canonical breeds.csv name 'Poodle Miniature'.
Tibetan Terrier,TT,Non-Sporting,9.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Coton de Tulear,CU,Non-Sporting,10.00,9.00,9.00,9.00,13.00,11.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Shetland Sheepdog,SS,Herding,8.00,10.00,10.00,10.00,11.00,11.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Belgian Tervuren,AV,Herding,8.00,11.00,11.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Beauceron,BE,Herding,10.00,11.00,11.00,10.00,9.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Dogo Argentino,DA,Working,10.00,11.00,11.00,10.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Kerry Blue Terrier,KB,Terrier,8.00,10.00,10.00,10.00,12.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Curly-Coated Retriever,CR,Sporting,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Lagotto Romagnolo,LG,Sporting,10.00,10.00,10.00,10.00,12.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Small Munsterlander,SM,Sporting,8.00,11.00,11.00,11.00,10.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Afghan Hound,AF,Hound,11.00,9.00,11.00,11.00,12.00,9.00,9.00,8.00,11.00,9.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Basset Hound,BH,Hound,11.00,11.00,10.00,9.00,10.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
American Foxhound,AX,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,7.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Newfoundland,NF,Working,8.00,11.00,11.00,10.00,11.00,11.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Akita,AK,Working,10.00,11.00,11.00,10.00,10.00,11.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Alaskan Malamute,AM,Working,8.00,11.00,11.00,11.00,11.00,10.00,10.00,7.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Norfolk Terrier,NT,Terrier,12.00,10.00,10.00,10.00,10.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Pomeranian,PE,Toy,11.00,9.00,9.00,9.00,12.00,11.00,10.00,10.00,9.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
English Toy Spaniel,ET,Toy,11.00,9.00,9.00,9.00,11.00,11.00,11.00,9.00,9.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Biewer Terrier,BW,Toy,8.00,10.00,10.00,10.00,11.00,11.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Eurasier,EU,Non-Sporting,11.12,10.10,10.10,11.11,11.11,10.10,11.11,6.06,9.09,10.10,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 99.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Dutch Shepherd,DS,Herding,8.00,11.00,11.00,11.00,10.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Swedish Vallhund,SV,Herding,9.00,11.00,11.00,13.00,11.00,9.00,12.00,5.00,8.00,11.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Polish Lowland Sheepdog,PG,Herding,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Korean Jindo,JD,Non-Sporting,11.12,10.10,10.10,11.11,11.11,11.11,11.11,5.05,9.09,10.10,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 99.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Carolina Dog,CD,Non-Sporting,11.23,10.20,11.23,11.23,9.18,11.23,11.22,4.08,9.18,11.22,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Australian Terrier,AU,Terrier,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Manchester Terrier,MT,Terrier,11.00,10.00,10.00,10.00,9.00,12.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Flat-Coated Retriever,FR,Sporting,8.00,11.00,11.00,11.00,10.00,10.00,11.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
German Wirehaired Pointer,GW,Sporting,10.00,10.00,10.00,10.00,12.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Basenji,BJ,Hound,13.00,10.00,10.00,10.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Black and Tan Coonhound,BT,Hound,10.00,11.00,11.00,11.00,9.00,10.00,10.00,8.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Keeshond,KH,Non-Sporting,8.00,10.00,10.00,10.00,12.00,10.00,10.00,10.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Chinook,CN,Working,10.00,11.00,11.00,11.00,10.00,10.00,10.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Phalene,PL,Toy,10.00,10.00,10.00,10.00,10.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Russian Toy,RS,Toy,10.00,10.00,10.00,10.00,10.00,11.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Peruvian Inca Orchid,PQ,Non-Sporting,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Kromfohrlander,KR,Non-Sporting,12.25,10.21,10.21,10.20,12.25,9.18,10.20,6.12,9.18,10.20,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 98.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
Catalan Sheepdog,CP,Herding,11.00,10.00,11.00,10.00,11.00,10.00,10.00,6.00,11.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Boerboel,BB,Working,10.00,11.00,11.00,10.00,9.00,11.00,11.00,7.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
Finnish Lapphund,FL,Herding,10.00,10.00,10.00,10.00,11.00,10.00,10.00,9.00,10.00,10.00,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,
White Swiss Shepherd,WS,Herding,10.90,10.89,10.89,10.89,10.89,9.90,10.89,5.94,7.92,10.89,breed-judging-v1,TRUE,ShowRing_BreedStandards.xlsx/Sheet1,Source Suggested % total was 101.00; explicitly proportionally normalized to 100.00 for JUDGE-01 validation.
