judgeCode,judgeName,style,typeExpressionWeight,structureBalanceWeight,movementWeight,coatPresentationWeight,temperamentBehaviorWeight,conditioningHandlingWeight,variance
JDG-0104,Mrs. Penelope Doyle,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0105,Mr. Peter Bennett,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0106,Mrs. Phoebe Sloan,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.34
JDG-0107,Mr. Quentin Reese,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.40
JDG-0108,Mrs. Rachel Coleman,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0109,Mr. Raymond Hayes,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.43
JDG-0110,Mrs. Rebecca Hollowell,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0111,Mr. Richard Dalton,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0112,Mrs. Rita Pierce,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0113,Mr. Robert Marsh,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0114,Mrs. Rosemary Whitaker,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0115,Mr. Russell Bell,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0116,Mrs. Sabrina Foster,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0117,Mr. Samuel Mercer,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0118,Mrs. Sandra Reese,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0119,Mr. Scott Holloway,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.42
JDG-0120,Mrs. Sharon Lang,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.33
JDG-0121,Mr. Shawn Mercer,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0122,Mrs. Sheila Vaughn,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0123,Mr. Spencer Doyle,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
JDG-0124,Mrs. Stephanie Rhodes,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0125,Mr. Stephen Pierce,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0126,Mrs. Susan Avery,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0127,Mr. Terrence Monroe,coat_specialist,0.95,0.95,0.90,1.35,0.95,0.90,0.40
JDG-0128,Mrs. Theresa Coleman,type_judge,1.25,1.05,0.95,0.90,0.95,0.85,0.35
JDG-0129,Mr. Theodore Whitman,movement_specialist,0.90,1.05,1.35,0.85,0.95,0.90,0.43
JDG-0130,Mrs. Tiffany Mercer,balanced,1.00,1.00,1.05,1.00,1.00,0.95,0.34
JDG-0131,Mr. Timothy Sloan,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0132,Mrs. Tracy Bell,temperament_focused,0.95,0.95,0.95,0.90,1.35,1.00,0.38
JDG-0133,Mr. Trevor Hollowell,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.40
JDG-0134,Mrs. Valerie Bennett,type_judge,1.35,1.00,0.90,0.95,0.95,0.85,0.35
JDG-0135,Mr. Victor Marsh,structure_judge,0.95,1.30,1.15,0.90,0.90,0.85,0.31
JDG-0136,Mrs. Victoria Reese,balanced,1.00,1.05,1.00,1.00,0.95,0.95,0.34
JDG-0137,Mr. Vincent Doyle,coat_specialist,0.95,0.95,0.90,1.30,1.00,0.90,0.39
JDG-0138,Mrs. Wanda Ellis,type_judge,1.30,1.00,0.95,0.90,1.00,0.85,0.36
JDG-0139,Mr. Warren Pierce,movement_specialist,0.90,1.00,1.35,0.85,0.95,0.90,0.42
JDG-0140,Mrs. Whitney Foster,balanced,1.05,1.00,1.00,0.95,1.00,0.95,0.33
JDG-0141,Mr. William Mercer,structure_judge,0.95,1.35,1.10,0.85,0.90,0.85,0.30
JDG-0142,Mrs. Yvonne Franklin,temperament_focused,0.95,0.95,0.95,0.90,1.30,1.05,0.37
JDG-0143,Mr. Zachary Holloway,movement_specialist,0.90,1.00,1.30,0.85,1.00,0.90,0.41
